word,category,difficulty,hint
apple,Food & Drink,easy,
banana,Food & Drink,easy,
orange,Food & Drink,easy,
strawberry,Food & Drink,easy,
grape,Food & Drink,easy,
pear,Food & Drink,easy,
watermelon,Food & Drink,easy,
pineapple,Food & Drink,easy,
mango,Food & Drink,easy,
blueberry,Food & Drink,easy,
raspberry,Food & Drink,easy,
peach,Food & Drink,easy,
cherry,Food & Drink,easy,
kiwi,Food & Drink,easy,
lemon,Food & Drink,easy,
lime,Food & Drink,easy,
grapefruit,Food & Drink,easy,
tangerine,Food & Drink,easy,
blackberry,Food & Drink,easy,
papaya,Food & Drink,easy,
cucumber,Food & Drink,easy,
tomato,Food & Drink,easy,
carrot,Food & Drink,easy,
lettuce,Food & Drink,easy,
spinach,Food & Drink,easy,
broccoli,Food & Drink,easy,
cauliflower,Food & Drink,easy,
potato,Food & Drink,easy,
sweet potato,Food & Drink,easy,
corn,Food & Drink,easy,
peas,Food & Drink,easy,
green bean,Food & Drink,easy,
zucchini,Food & Drink,easy,
eggplant,Food & Drink,easy,
bell pepper,Food & Drink,easy,
acai bowl,Food & Drink,medium,
apricot,Food & Drink,medium,
avocado,Food & Drink,medium,
blood orange,Food & Drink,medium,
cantaloupe,Food & Drink,medium,
cherimoya,Food & Drink,medium,
coconut,Food & Drink,medium,
dragon fruit,Food & Drink,medium,
fig,Food & Drink,medium,
guava,Food & Drink,medium,
honeydew melon,Food & Drink,medium,
jackfruit,Food & Drink,medium,
kumquat,Food & Drink,medium,
lychee,Food & Drink,medium,
mandarin,Food & Drink,medium,
mulberry,Food & Drink,medium,
nectarine,Food & Drink,medium,
olive,Food & Drink,medium,
passionfruit,Food & Drink,medium,
persimmon,Food & Drink,medium,
pomelo,Food & Drink,medium,
quince,Food & Drink,medium,
rambutan,Food & Drink,medium,
starfruit,Food & Drink,medium,
ugli fruit,Food & Drink,medium,
yuzu,Food & Drink,medium,
bok choy,Food & Drink,medium,
brussels sprouts,Food & Drink,medium,
butternut squash,Food & Drink,medium,
cabbage,Food & Drink,medium,
chayote,Food & Drink,medium,
collard greens,Food & Drink,medium,
endive,Food & Drink,medium,
fennel,Food & Drink,medium,
garlic,Food & Drink,medium,
ginger,Food & Drink,medium,
horseradish,Food & Drink,medium,
jicama,Food & Drink,medium,
kohlrabi,Food & Drink,medium,
leeks,Food & Drink,medium,
okra,Food & Drink,medium,
parsnip,Food & Drink,medium,
radish,Food & Drink,medium,
rutabaga,Food & Drink,medium,
shallot,Food & Drink,medium,
turnip,Food & Drink,medium,
watercress,Food & Drink,medium,
arugula,Food & Drink,medium,
beetroot,Food & Drink,medium,
artichoke,Food & Drink,medium,
asparagus,Food & Drink,medium,
bean sprout,Food & Drink,medium,
pea shoot,Food & Drink,medium,
pumpkin,Food & Drink,medium,
swiss chard,Food & Drink,medium,
yam,Food & Drink,medium,
edamame,Food & Drink,medium,
seaweed salad,Food & Drink,medium,
microgreens,Food & Drink,medium,
radicchio,Food & Drink,medium,
sorrel,Food & Drink,medium,
celeriac,Food & Drink,medium,
sugar snap pea,Food & Drink,medium,
water chestnut,Food & Drink,medium,
Chinese broccoli,Food & Drink,medium,
bitter gourd,Food & Drink,medium,
ackee,Food & Drink,hard,
salak,Food & Drink,hard,
feijoa,Food & Drink,hard,
loquat,Food & Drink,hard,
tamarillo,Food & Drink,hard,
mangosteen,Food & Drink,hard,
miracle fruit,Food & Drink,hard,
nashi pear,Food & Drink,hard,
physalis,Food & Drink,hard,
sapodilla,Food & Drink,hard,
soursop,Food & Drink,hard,
yumberry,Food & Drink,hard,
bitter melon,Food & Drink,hard,
canistel,Food & Drink,hard,
kiwano,Food & Drink,hard,
lucuma,Food & Drink,hard,
pawpaw,Food & Drink,hard,
jostaberry,Food & Drink,hard,
salmonberry,Food & Drink,hard,
serviceberry,Food & Drink,hard,
medlar,Food & Drink,hard,
ambarella,Food & Drink,hard,
romanesco,Food & Drink,hard,
salsify,Food & Drink,hard,
crosne,Food & Drink,hard,
fiddlehead fern,Food & Drink,hard,
sea beet,Food & Drink,hard,
mizuna,Food & Drink,hard,
tatsoi,Food & Drink,hard,
water spinach,Food & Drink,hard,
amaranth leaves,Food & Drink,hard,
malabar spinach,Food & Drink,hard,
oca,Food & Drink,hard,
beef,Food & Drink,easy,
chicken,Food & Drink,easy,
pork,Food & Drink,easy,
lamb,Food & Drink,easy,
turkey,Food & Drink,easy,
bacon,Food & Drink,easy,
sausage,Food & Drink,easy,
ham,Food & Drink,easy,
steak,Food & Drink,easy,
meatball,Food & Drink,easy,
hot dog,Food & Drink,easy,
fish,Food & Drink,easy,
shrimp,Food & Drink,easy,
crab,Food & Drink,easy,
lobster,Food & Drink,easy,
tuna,Food & Drink,easy,
salmon,Food & Drink,easy,
cod,Food & Drink,easy,
tilapia,Food & Drink,easy,
mackerel,Food & Drink,easy,
trout,Food & Drink,easy,
clams,Food & Drink,easy,
mussels,Food & Drink,easy,
scallops,Food & Drink,easy,
oysters,Food & Drink,easy,
calamari,Food & Drink,easy,
venison,Food & Drink,easy,
duck,Food & Drink,easy,
goose,Food & Drink,easy,
quail,Food & Drink,easy,
ribs,Food & Drink,easy,
burger,Food & Drink,easy,
meatloaf,Food & Drink,easy,
pepperoni,Food & Drink,easy,
liver,Food & Drink,easy,
brisket,Food & Drink,medium,
ribeye,Food & Drink,medium,
tenderloin,Food & Drink,medium,
sirloin,Food & Drink,medium,
filet mignon,Food & Drink,medium,
pork chop,Food & Drink,medium,
spare ribs,Food & Drink,medium,
kebab,Food & Drink,medium,
veal,Food & Drink,medium,
prosciutto di Parma,Food & Drink,medium,
salami,Food & Drink,medium,
chorizo,Food & Drink,medium,
kielbasa,Food & Drink,medium,
bratwurst,Food & Drink,medium,
blood sausage,Food & Drink,medium,
corned beef,Food & Drink,medium,
brisket sandwich,Food & Drink,medium,
chicken nugget,Food & Drink,medium,
chicken wing,Food & Drink,medium,
duck confit,Food & Drink,medium,
carpaccio,Food & Drink,medium,
terrine,Food & Drink,medium,
schnitzel,Food & Drink,medium,
foie gras,Food & Drink,medium,
seafood stew,Food & Drink,medium,
clam chowder,Food & Drink,medium,
crab cake,Food & Drink,medium,
fish and chips,Food & Drink,medium,
cioppino,Food & Drink,medium,
gumbo,Food & Drink,medium,
jambalaya,Food & Drink,medium,
bouillabaisse,Food & Drink,medium,
lobster bisque,Food & Drink,medium,
grilled octopus,Food & Drink,medium,
sea bass,Food & Drink,medium,
red snapper,Food & Drink,medium,
eel,Food & Drink,medium,
catfish,Food & Drink,medium,
soft-shell crab,Food & Drink,medium,
squid,Food & Drink,medium,
marinated anchovies,Food & Drink,medium,
smoked salmon,Food & Drink,medium,
pickled herring,Food & Drink,medium,
octopus salad,Food & Drink,medium,
escargot,Food & Drink,medium,
mutton,Food & Drink,medium,
boudin,Food & Drink,medium,
meat pie,Food & Drink,medium,
beef stew,Food & Drink,medium,
goulash,Food & Drink,medium,
lamb shank,Food & Drink,medium,
oxtail stew,Food & Drink,medium,
smoked turkey,Food & Drink,medium,
ham hock,Food & Drink,medium,
pepper steak,Food & Drink,medium,
pork belly,Food & Drink,medium,
crispy chicken,Food & Drink,medium,
tartare,Food & Drink,hard,
sukiyaki beef,Food & Drink,hard,
wagyu,Food & Drink,hard,
Kobe beef,Food & Drink,hard,
bresaola,Food & Drink,hard,
capicola,Food & Drink,hard,
guanciale,Food & Drink,hard,
soppressata,Food & Drink,hard,
mortadella,Food & Drink,hard,
chateaubriand,Food & Drink,hard,
tournedos,Food & Drink,hard,
oxtail,Food & Drink,hard,
abalone,Food & Drink,hard,
geoduck,Food & Drink,hard,
conch,Food & Drink,hard,
whelk,Food & Drink,hard,
razor clam,Food & Drink,hard,
sea urchin,Food & Drink,hard,
uni,Food & Drink,hard,
spiny lobster,Food & Drink,hard,
crayfish,Food & Drink,hard,
langoustine,Food & Drink,hard,
pompano,Food & Drink,hard,
sturgeon,Food & Drink,hard,
kippers,Food & Drink,hard,
black pudding,Food & Drink,hard,
brawn,Food & Drink,hard,
head cheese,Food & Drink,hard,
tasso,Food & Drink,hard,
picanha,Food & Drink,hard,
smelt,Food & Drink,hard,
escamoles,Food & Drink,hard,
rockfish,Food & Drink,hard,
milk,Food & Drink,easy,
cheese,Food & Drink,easy,
butter,Food & Drink,easy,
yogurt,Food & Drink,easy,
cream,Food & Drink,easy,
ice cream,Food & Drink,easy,
sour cream,Food & Drink,easy,
cottage cheese,Food & Drink,easy,
mozzarella,Food & Drink,easy,
cheddar,Food & Drink,easy,
Swiss cheese,Food & Drink,easy,
eggs,Food & Drink,easy,
scrambled eggs,Food & Drink,easy,
boiled eggs,Food & Drink,easy,
fried eggs,Food & Drink,easy,
omelette,Food & Drink,easy,
quiche,Food & Drink,easy,
custard,Food & Drink,easy,
pudding,Food & Drink,easy,
kefir,Food & Drink,easy,
buttermilk,Food & Drink,easy,
ghee,Food & Drink,easy,
cream cheese,Food & Drink,easy,
